age,income,loan,credit,approved
64,68592,5000,805,1
54,25000,47965,701,0
29,34032,97539,739,0
54,69381,108399,808,1
66,25000,5000,697,1
66,51512,5000,663,1
73,55005,5000,610,0
61,43822,5000,593,0
73,105894,5000,528,0
45,39793,39694,741,1
64,78536,142450,712,0
32,60873,25141,663,1
23,70248,105011,661,0
61,139256,82372,609,0
37,82187,5000,714,1
67,89921,81447,637,1
31,44383,75951,661,0
19,100045,29955,602,0
26,98358,43906,614,0
54,94504,25375,745,1
37,26632,5000,757,1
43,51590,219254,593,0
46,132343,114440,721,1
18,47490,72176,628,0
72,137799,5000,645,1
52,53144,22656,764,1
23,80928,5000,659,1
54,67513,67595,659,0
70,41207,56894,565,0
22,41783,13475,656,1
50,46830,32393,636,1
66,80922,6118,712,1
68,110616,5000,642,1
31,78326,5000,765,1
29,73664,5000,707,1
59,123415,5000,693,1
37,76653,5000,729,1
70,53285,117135,694,0
67,35090,5000,730,1
41,125817,5000,669,1
60,61824,53335,673,1
51,51857,79888,623,0
42,48398,107501,630,0
67,123567,43293,771,1
46,52081,5000,712,1
74,114618,5000,572,0
56,65783,78013,754,0
48,26664,146723,688,0
73,61700,5000,624,1
64,73688,46953,804,1
60,70393,5000,768,1
67,69400,5000,732,1
40,62122,32799,691,0
61,43599,19308,703,1
55,75429,5000,528,0
37,96637,46127,732,1
40,25000,56247,692,0
62,126962,89785,696,1
69,25000,5000,695,0
33,78009,5000,647,1
67,93643,5000,613,0
59,50865,86474,686,0
72,25000,23930,586,0
25,71131,97944,699,0
67,81787,5000,608,0
38,29051,94967,747,0
18,41794,49923,580,0
72,113508,5000,676,1
25,79707,115628,685,0
46,25000,49201,765,0
49,92993,5000,697,1
55,37779,108549,623,0
22,44009,10662,617,0
64,82906,32955,781,1
39,79179,5000,677,1
64,58895,25865,666,0
51,54831,5000,631,1
18,64968,16224,595,0
72,43776,32454,813,1
72,118560,78461,684,0
43,25000,5000,602,0
60,65364,110239,731,0
27,25000,112744,721,0
47,112440,14880,592,0
67,65307,40324,639,1
35,32733,54521,712,0
34,102401,36669,730,1
43,25000,78274,626,0
25,86235,5000,549,0
64,121051,5000,697,1
57,82181,64253,739,1
66,54739,5000,675,1
29,25312,79523,658,0
44,118300,87806,791,1
25,112096,5000,539,0
42,49185,143766,730,0
63,50254,5000,734,1
21,122470,5000,625,1
50,96264,5000,518,0
18,25000,65848,733,0
36,67171,5000,702,1
48,65697,5000,779,1
33,84905,57329,640,1
31,75241,6696,692,1
70,54491,116874,562,0
65,82134,54701,730,1
22,57088,51292,572,0
58,211567,111160,677,1
43,79909,42801,607,0
45,74412,92575,703,0
19,148712,5000,666,1
67,25000,161683,664,0
23,70601,52034,675,1
26,37015,5000,682,0
50,100400,41028,778,1
58,55226,44933,713,1
42,98203,39983,632,0
65,95322,5000,637,1
30,106214,5000,750,1
26,95980,5000,605,0
70,66038,5000,680,1
30,25000,43313,561,0
48,115363,5000,671,1
58,131361,5000,602,0
28,37485,5000,634,1
21,104435,140344,693,0
51,28185,33190,722,0
55,83137,5000,629,1
63,91376,81523,758,1
21,57951,5000,597,0
55,78802,125492,734,0
36,108928,29350,650,1
23,70623,5000,746,1
51,47994,5000,650,1
35,26048,5000,631,1
30,59369,69180,722,0
58,28011,5000,710,1
40,59904,129494,642,0
36,56390,59485,717,0
62,107164,47952,670,1
28,77939,35843,690,1
18,176890,28391,703,1
41,25000,5000,581,0
71,87534,53402,680,1
24,56937,184058,577,0
42,36758,85345,606,0
38,73809,65076,672,0
32,70815,5000,748,1
18,118112,116890,663,0
29,78650,94200,655,0
75,47287,123394,648,0
24,88368,5000,707,1
32,65813,5000,601,0
38,29980,5000,581,0
36,65058,5000,774,1
46,84237,5000,708,1
42,77891,67421,630,1
50,88212,5000,635,1
66,53940,5000,641,1
49,87704,57154,588,0
66,79804,5000,658,1
52,80129,5000,681,1
61,76294,57063,774,1
55,162043,5000,687,1
43,119405,133936,731,0
28,86815,5000,659,1
52,42991,5000,647,1
25,63306,5000,679,1
63,139631,5000,739,1
31,52482,52160,638,0
27,68370,94648,695,0
19,66143,202393,693,0
63,89715,76193,678,0
26,57534,5000,740,1
20,82074,129332,682,0
38,58427,68971,670,0
43,127580,32295,676,1
25,47548,115384,531,0
65,114105,219436,668,0
19,51594,14880,605,0
23,40850,5000,665,1
45,46968,136194,678,0
70,25000,242504,712,0
46,92543,41590,820,1
43,28440,32472,774,0
42,60683,43769,679,1
29,105464,65946,719,0
22,104174,5000,651,1
51,25000,54471,693,0
65,87421,51876,694,1
54,120619,47274,611,0
32,49526,43360,647,1
61,95542,37702,561,0
53,29268,5000,667,1
32,90426,5000,677,1
60,80250,98468,674,0
65,101445,117235,609,0
40,98965,5000,674,1
23,25000,5000,691,1
63,80462,87357,712,0
67,133116,51826,698,1
61,25000,20234,658,0
60,113677,98948,670,0
62,139068,5000,697,1
38,25000,122876,650,0
40,48172,5000,620,1
60,95709,5000,653,1
72,39554,5000,707,1
33,129583,5000,730,1
64,117355,54486,745,1
70,25000,84273,620,0
32,45277,23476,814,1
42,105793,5000,630,1
53,104226,5000,664,1
28,163737,97709,763,1
68,39804,87806,563,0
32,133368,115669,689,1
21,38443,19404,659,0
38,95012,83452,582,0
30,110693,5000,583,0
39,25000,68447,758,0
36,111448,5000,716,1
51,130382,5000,746,1
31,118835,48559,607,0
21,157133,44381,700,1
65,113607,102928,838,1
70,53511,5000,663,1
69,124560,104169,683,1
63,51241,40391,680,1
44,78296,115436,672,0
46,108271,114610,625,0
64,92923,5000,683,1
45,129045,113890,793,1
52,174546,117445,676,1
25,29505,5000,765,1
33,61866,5000,850,1
59,87655,91977,623,0
53,56472,39088,717,1
47,71971,5000,598,0
35,106032,145102,670,0
19,100716,54203,850,1
66,84893,5000,725,1
30,80909,5000,701,1
21,66045,113387,597,0
43,131180,32863,637,1
42,141535,5000,621,1
47,115752,66198,607,0
28,29024,5000,738,1
24,64511,5000,728,1
48,82986,111336,668,0
61,37372,123402,641,0
27,78163,68490,730,0
56,75888,5000,797,1
30,118365,178014,749,0
48,55068,175283,687,0
24,121532,131843,744,0
73,36705,54300,747,0
66,42286,37285,690,0
59,59825,64982,690,0
59,76914,5000,643,1
73,25000,5000,738,1
53,93371,5000,668,1
37,143373,78573,611,0
21,101050,49765,613,0
71,66573,5000,677,1
24,31616,5000,613,0
71,25000,58449,850,0
18,25000,5000,714,1
61,69766,5000,645,1
73,159276,197718,692,0
62,25000,214774,731,0
59,103008,5000,695,1
64,47891,5000,612,0
30,61580,126868,672,0
72,37492,56888,663,0
39,25000,91601,648,0
71,80025,5000,621,1
38,85512,5000,741,1
39,101733,10845,712,1
45,25000,43943,712,0
26,109958,5000,550,0
43,110672,133732,652,0
26,91979,5000,767,1
32,58161,62740,707,0
27,87337,40101,598,0
41,68582,127505,796,0
75,113740,5000,510,0
74,60338,86466,688,0
59,79320,68168,800,1
25,25000,49531,570,0
41,87211,5000,646,1
33,45017,5000,581,0
66,95498,6295,778,1
43,106536,5000,622,1
44,50601,130809,749,0
54,76247,40844,777,1
21,81979,93580,590,0
67,89722,5000,575,0
41,106594,5000,713,1
36,101360,15774,734,1
53,59804,5000,675,1
56,138932,33190,681,1
27,105079,5000,783,1
42,131205,54494,663,1
35,88868,5000,776,1
36,91232,74884,639,1
53,70312,5000,847,1
27,57249,5000,618,0
50,114013,98216,762,1
72,85583,5000,612,0
67,69737,139800,735,0
22,34095,5000,679,1
64,137204,5000,699,1
66,79505,7277,726,1
52,25931,5000,697,1
61,78256,40093,691,1
51,66963,62207,549,0
50,65322,74342,776,0
72,98050,23141,787,1
38,67018,5000,672,1
34,62780,167875,718,0
39,129496,5000,775,1
65,25000,5000,722,1
54,72944,22889,642,1
32,112154,9095,595,0
52,100077,5000,724,1
45,115801,75997,689,0
24,155862,5000,679,1
49,142958,5000,626,1
28,28778,170747,656,0
27,25000,105559,703,0
26,88074,158975,659,0
31,25000,5000,682,1
30,25000,88402,677,0
74,87649,62261,726,1
42,97681,25630,579,0
19,143445,5000,655,1
52,105737,116768,602,0
24,151782,5000,690,1
38,89222,40902,623,1
35,29549,103049,745,0
20,107887,5000,651,1
59,128372,5000,639,1
71,90643,231288,621,0
56,133022,5000,697,1
58,70069,159338,591,0
66,96835,25759,673,1
28,68026,5000,671,1
56,170161,5000,643,1
41,108650,25022,695,1
63,30331,137033,647,0
36,149103,90488,699,1
21,45672,13070,641,1
43,75547,5000,627,1
55,93732,31649,697,1
59,96999,40626,736,0
49,94348,130681,850,0
56,29678,5000,656,1
62,94481,5000,734,1
63,119025,5000,648,1
53,117874,25529,732,1
57,25000,37283,771,0
54,48773,65072,689,0
50,33219,5000,729,1
53,88592,43838,711,1
20,25000,49652,680,0
26,30090,36012,650,0
25,48394,15790,655,1
50,25000,5000,587,0
23,73888,75451,752,0
58,25000,5000,810,1
56,94413,79096,581,0
21,59119,130011,752,0
30,50040,5000,676,1
66,56570,76660,635,0
19,72584,5000,690,1
22,98714,26608,623,1
61,127683,19924,696,1
44,115556,90513,659,1
49,164267,78633,655,1
38,102011,50969,762,1
25,80612,5000,557,0
55,56718,5000,640,1
25,58048,102982,541,0
67,96561,89717,689,1
20,35022,5000,645,1
71,84159,57787,629,1
61,74245,13258,699,1
75,45876,116919,722,0
20,32952,36686,762,0
39,175988,102031,850,1
23,25000,5000,640,1
19,72289,52801,632,0
40,123903,5000,680,1
61,96162,5000,686,1
19,56058,5000,801,1
55,27314,103878,716,0
34,80191,169975,613,0
52,25000,5000,609,0
51,81794,85487,727,0
40,76393,82153,665,0
47,117804,5000,779,1
69,29266,5000,716,1
25,62061,124440,606,0
39,92476,116008,597,0
61,83222,66119,704,1
75,25000,5000,656,1
53,49099,117156,759,0
22,130996,5000,703,1
30,85373,143650,702,0
46,25000,160576,593,0
48,110329,124518,646,0
64,25000,57424,676,0
74,62719,5000,548,0
72,97531,15217,723,1
33,123548,171190,739,0
59,25000,104964,642,0
47,103463,64825,768,1
74,109468,5000,765,1
72,52719,111952,716,0
33,78636,5000,675,1
29,25000,16333,749,1
34,25000,169190,575,0
33,119341,5000,685,1
29,53444,78735,620,0
25,61151,5000,633,1
37,84387,5000,711,1
20,60362,44357,623,1
33,56652,58289,572,0
47,90779,195395,835,0
62,25000,5000,637,1
40,121396,77554,620,1
45,65789,75310,763,0
68,34773,5000,637,0
57,29391,106475,591,0
71,76706,83453,615,0
22,62745,8121,649,1
37,25000,45576,605,0
57,50926,5000,621,1
73,42632,5000,648,1
61,125474,28275,748,1
18,80218,89797,825,0
74,137773,5000,757,1
47,46601,5000,664,1
38,63354,11542,581,0
37,90462,96289,729,0
23,99165,5000,608,0
39,103839,98907,654,1
35,39487,70958,793,0
25,40612,5000,799,1
56,60783,11178,692,1
49,134236,80885,765,1
50,34972,5000,763,1
70,53922,5000,726,1
33,104194,5000,661,1
29,102054,5000,641,1
55,97216,113018,683,0
69,78233,93861,590,0
51,32394,5000,646,1
31,47368,112315,721,0
53,120059,83072,635,1
50,105945,132010,788,0
40,25000,22916,697,0
67,109778,73126,734,0
62,127351,299745,665,0
19,77153,5234,724,1
58,92051,24801,600,0
38,115459,17287,709,1
19,47171,22759,716,1
44,168183,74648,769,1
74,123923,34648,539,0
26,95961,5000,632,1
18,73619,31443,555,0
28,94791,5000,621,1
20,25000,5000,672,1
69,158283,121602,721,1
40,120155,5000,837,1
43,133560,60669,774,1
21,76230,5000,645,1
35,60588,69913,730,0
72,48027,5000,765,1
23,107542,5000,673,1
52,54498,5000,675,1
39,67505,5000,663,1
60,96855,90054,713,1
32,48626,37234,708,1
39,116757,5000,689,1
54,74290,65080,801,1
69,25000,5000,750,1
59,48199,5000,566,0
29,127327,31172,554,0
64,37519,5000,709,1
66,110763,125336,672,0
59,79866,43545,557,0
55,68131,80076,546,0
35,175503,83339,662,1
62,25000,5000,697,1
52,45394,5000,700,1
47,74062,26004,637,1
41,171629,99377,641,1
59,74155,11378,644,1
47,85970,77276,714,0
31,61566,27820,572,0
23,89345,5000,681,1
20,64047,5000,751,1
33,102812,154997,655,0
24,105967,5000,691,1
69,65635,5000,709,1
31,29980,103406,633,0
26,78742,5000,672,1
32,131084,5000,588,0
38,41933,13068,714,1
52,88356,5000,691,1
19,26770,5000,761,1
44,33407,14518,741,1
19,127014,84326,762,1
52,102661,20167,766,1
35,88958,5000,629,1
31,25000,105687,713,0
37,52884,166516,727,0
35,99272,106411,636,0
27,25000,5000,766,1
42,60844,5000,672,1
19,105666,64959,724,0
42,25000,43683,757,0
71,25000,5000,709,1
50,25000,52914,806,0
53,88379,37909,849,1
48,52720,148233,681,0
31,110121,5000,747,1
18,79840,140928,845,0
63,150221,144433,636,1
33,25500,5000,484,0
71,88270,58322,747,1
63,43191,13083,652,1
69,99008,9806,595,0
20,79797,49699,630,1
52,35275,5000,570,0
58,68713,5000,798,1
23,77923,5000,781,1
42,51027,124470,663,0
30,104086,13735,669,1
70,33756,28140,693,0
51,158640,93411,797,1
25,113147,5000,605,0
38,88949,65128,668,1
51,188812,163588,767,1
21,62628,37322,656,0
42,99455,5000,621,1
32,83907,23888,691,1
21,106898,78817,555,0
62,134844,38965,706,1
29,96957,51796,662,0
49,116671,61408,724,1
49,52984,5000,631,1
45,66753,5000,711,1
30,140531,5000,694,1
48,98874,61413,597,0
31,84932,5000,613,0
37,44870,194506,766,0
35,113663,5000,747,1
46,43741,5000,558,0
23,31953,74293,649,0
49,79597,67403,702,0
46,25000,24210,717,0
60,99443,84095,699,0
19,90077,75416,706,0
40,60887,30006,654,0
36,64515,51458,692,1
48,70227,5000,611,0
68,43434,19346,654,1
22,82382,26184,534,0
36,65024,183026,606,0
51,79498,5000,618,0
27,68770,27130,621,1
42,60898,143890,731,0
19,86139,74809,569,0
28,106243,32013,635,1
67,54009,106985,725,0
48,90818,5000,587,0
73,95777,168024,768,0
32,25000,81399,692,0
26,114061,5000,728,1
40,157258,5000,613,0
36,71476,5000,626,1
26,68152,93661,670,0
52,66479,75080,736,0
38,99824,5000,734,1
26,95431,126028,707,0
45,25000,23317,664,0
63,40355,239870,626,0
68,95292,5000,753,1
24,69199,81335,655,0
33,28355,5000,572,0
33,135010,5000,612,0
50,43011,16154,630,1
21,76431,59360,656,1
21,68139,34663,674,0
56,31852,84214,584,0
57,82398,78558,646,1
34,90684,146113,654,0
54,56292,5000,665,1
56,61552,5000,625,1
69,99019,24578,850,1
46,25000,5000,655,1
69,41199,99915,638,0
53,83537,5000,603,0
55,53930,5000,733,1
56,53358,5000,550,0
67,111067,171242,555,0
54,49667,198610,677,0
69,154167,5000,712,1
52,25000,5000,673,1
24,25000,5000,822,1
44,110157,27045,643,1
45,35641,26678,658,0
39,36317,23263,677,0
31,114389,95272,682,1
24,55109,5000,671,1
54,111414,47067,667,1
39,50583,81574,588,0
22,89501,47553,728,0
72,54543,84056,748,0
19,38207,5000,646,0
44,144224,39158,676,1
38,119658,48383,788,1
71,45934,16752,627,1
55,67864,5000,694,1
32,134049,66894,686,1
38,35471,39835,792,0
27,37635,25792,810,1
40,93802,5000,735,1
75,165819,6860,850,1
73,77153,5000,682,1
56,116992,5000,367,0
22,34302,5000,644,1
18,89442,5000,648,1
30,60615,59145,788,1
38,149665,95578,666,1
43,138947,25903,772,1
67,166176,23691,736,1
62,47180,41516,700,0
38,76419,108668,708,0
70,90006,12000,699,1
35,48741,67033,759,0
54,80242,59646,662,0
62,111359,5000,653,1
49,52985,86535,708,0
53,46865,5000,693,1
34,44213,114939,665,0
52,25000,5000,832,1
66,109159,18877,729,1
28,46773,96317,640,0
38,42555,5000,721,1
69,96162,48733,614,0
72,74575,97612,599,0
70,53978,177857,736,0
43,107425,28796,619,0
21,52382,44383,682,1
51,25000,33237,607,0
69,128329,12298,659,1
65,41872,5000,649,1
35,46241,5000,673,1
57,46418,28857,841,1
52,77384,57287,769,1
58,64030,130914,672,0
46,114522,13222,665,1
69,140804,152293,630,0
46,47832,5000,607,0
55,37479,46812,669,0
59,54123,8622,773,1
38,92562,5000,458,0
59,70345,5000,751,1
30,54983,5000,760,1
66,25000,5000,530,0
58,25000,5000,682,1
34,34811,90931,649,0
73,125576,5000,668,1
26,92439,5000,695,1
58,67338,11117,702,1
18,104191,5000,584,0
19,25000,161757,793,0
65,77270,5000,646,1
46,25000,5000,850,1
50,88840,161608,614,0
27,85380,88002,605,0
67,86332,38504,702,1
75,121704,5000,742,1
57,106039,91323,769,1
38,26643,5000,610,0
45,122308,85461,656,1
28,66621,50009,810,1
72,25000,109204,654,0
51,70649,5000,742,1
25,100885,5000,547,0
39,34445,5000,567,0
25,128314,5000,747,1
66,38067,64001,669,0
32,55756,6376,732,1
34,48410,5000,636,1
40,25000,5000,564,0
41,35274,5000,686,1
62,46525,99262,582,0
36,69795,24664,688,1
22,25000,96509,612,0
49,103662,243173,725,0
61,103266,28571,661,1
18,122258,5000,658,1
40,25000,19037,703,0
54,63286,180327,745,0
25,112657,116939,692,0
30,116099,5000,804,1
25,134157,5677,801,1
74,79108,92001,630,0
40,72761,68365,601,0
60,25000,92854,594,0
18,117595,10876,806,1
62,56587,61087,594,0
68,76357,5579,652,1
41,73686,141474,680,0
52,25000,5000,803,1
41,42541,5000,588,0
34,93155,5000,756,1
22,73056,5000,680,1
37,93472,5000,671,1
38,106353,5000,678,1
57,42070,115480,630,0
75,54393,16639,650,1
48,69352,10586,629,1
63,105939,34503,588,0
53,65636,157851,597,0
28,25000,39304,762,0
69,67072,21100,655,1
32,104330,5000,726,1
36,129280,77917,667,1
24,86223,24850,666,1
68,25000,162169,674,0
45,58745,17139,731,1
68,94002,110611,631,0
60,109648,5000,669,1
75,95282,5000,743,1
22,64935,5000,755,1
22,109340,93557,783,1
47,49377,26941,612,0
71,82385,81165,635,1
49,104991,165694,666,0
25,98065,5000,587,0
27,98963,5000,741,1
55,97956,5000,700,1
64,33052,5000,669,1
49,75702,14543,752,1
65,38630,100735,627,0
45,63421,33922,759,1
34,28246,5000,801,1
48,88798,5000,701,1
25,25000,40013,679,0
57,99691,107000,691,0
42,75613,93717,582,0
26,151086,5000,666,1
19,66815,5000,824,1
32,66804,77530,828,0
67,102301,5000,686,1
20,69140,98429,641,0
66,85993,5000,752,1
53,114776,154091,677,0
21,64299,48821,746,1
31,122810,5000,627,1
58,25000,81235,701,0
58,139139,50387,654,1
42,25000,68892,679,0
75,129087,210151,640,0
72,25000,9097,670,1
67,154223,5000,701,1
27,81435,131403,728,0
38,37204,5000,668,1
53,149604,5000,781,1
29,31445,33367,589,0
44,65905,5000,575,0
57,179188,24898,638,1
19,90821,19136,680,1
71,25000,152865,793,0
30,64068,5000,666,1
70,60529,36988,613,0
49,82540,5000,635,1
48,73222,5000,685,1
33,96834,84407,604,0
49,25000,71441,815,0
49,53083,57425,516,0
51,87473,5000,626,1
28,44514,124894,640,0
27,118837,5000,611,0
32,45314,140911,727,0
34,80733,5000,634,1
57,70801,112466,723,0
35,34412,38138,790,0
72,77419,5000,766,1
26,25000,5000,691,1
42,57255,166187,680,0
57,76210,95876,741,0
31,25000,5000,659,1
75,99940,134292,645,0
42,85414,52550,610,0
67,96280,161425,701,0
39,75098,23662,606,0
69,28972,6652,630,1
47,74997,109053,827,0
37,99923,50159,727,1
38,27387,74601,708,0
61,30566,5000,629,1
49,65156,123696,733,0
68,60146,108582,608,0
63,74353,138124,573,0
66,63332,5000,641,1
73,81399,5000,597,0
38,123872,5000,712,1
52,96535,10852,705,1
75,77246,5000,695,1
49,30731,80982,720,0
47,46120,5000,717,1
72,108669,130477,632,0
56,56260,197913,713,0
66,36289,5000,701,1
29,158921,5000,636,1
58,135978,89782,654,1
64,70021,37758,739,0
35,31693,59573,587,0
38,103934,136351,703,0
30,55397,8265,672,1
38,110541,5000,678,1
25,55437,5000,660,1
63,140815,15814,709,1
57,54250,5000,569,0
63,169589,99190,697,1
24,82802,141398,606,0
40,130372,141083,752,1
61,53395,5000,589,0
49,25000,5000,512,0
28,25000,5000,561,0
39,126064,30242,676,1
39,77720,100777,571,0
60,25096,5000,588,0
42,127728,5000,631,1
39,121239,180866,717,0
45,130295,5000,626,1
46,25000,21011,665,0
30,124856,5000,664,1
35,90361,5000,578,0
19,132104,102150,708,1
46,96709,5000,837,1
38,81920,119948,559,0
32,125399,51443,618,0
69,109075,8505,590,0
44,118270,9842,666,1
67,55478,66341,578,0
48,68103,5000,767,1
32,25000,44140,778,0
68,52595,5000,728,1
40,106615,5000,745,1
41,97567,79359,688,1
61,35818,224973,755,0
30,126293,75284,658,1
39,193923,26206,642,1
60,38891,5000,726,0
54,66764,5000,653,1
50,50136,5000,829,1
73,71204,45919,753,1
20,85956,5000,640,1
71,47106,5000,668,1
36,63923,66095,670,0
40,78489,14069,627,1
46,93864,5000,742,1
47,133659,5000,618,0
56,74420,5000,673,1
61,52526,5000,626,1
64,102853,143867,641,0
42,91006,5000,733,1
54,67286,91115,727,0
64,94400,77221,655,0
25,59674,13245,759,1
59,53784,91198,720,0
75,25000,65333,688,0
33,61883,5000,743,1
25,25000,5000,779,1
18,49423,61021,710,0
61,98179,5000,699,1
22,25000,78859,545,0
20,67406,123002,698,0
18,77618,27828,712,1
21,65456,5000,702,1
57,55746,5000,616,0
52,88015,5000,631,1
49,93563,5000,730,1
59,75061,99122,652,0
51,57969,5000,692,1
60,109589,15939,532,0
42,25000,92376,678,0
27,102495,5000,736,1
38,91787,5000,701,1
63,82961,99706,670,0
56,74604,122800,606,0
44,25000,33069,554,0
44,130494,162856,625,0
19,108546,43260,752,1
58,36544,100106,676,0
65,105352,186400,728,0
30,82553,5000,780,1
26,51679,5000,688,1
69,122671,93953,739,1
53,57766,17153,759,1
39,129245,5000,582,0
59,96371,5000,626,1
43,113262,5000,562,0
75,98163,31969,552,0
71,96309,43047,645,0
29,83609,116795,662,0
34,45927,124439,548,0
31,77501,5000,711,1
31,111655,198607,645,0
74,103770,5000,780,1
51,95050,5000,692,1
70,25000,5000,692,1
74,66471,5000,665,1
37,62268,90646,671,0
28,30869,164572,705,0
33,111150,167859,743,0
68,25000,5000,586,0
48,108465,98545,621,0
72,128169,152165,700,0
23,66606,109834,677,0
73,72026,5000,735,1
36,113702,43472,632,1
54,44453,5000,768,1
75,101431,89794,643,0
21,38287,5000,657,0
64,26302,84830,756,0
21,86839,5000,719,1
37,73932,59056,818,1
27,25000,9720,746,1
41,131612,5000,770,1
71,58411,105741,659,0
52,95427,152118,771,0
43,139207,5000,684,1
54,84904,44931,524,0
55,125931,5000,713,1
38,40477,5000,719,1
71,131839,5000,603,0
57,41965,5000,705,1
56,52154,114739,688,0
38,25000,38276,764,0
27,85736,5000,710,1
55,100237,25344,680,1
63,105672,125705,586,0
21,25000,112212,542,0
74,89999,74664,768,1
62,91479,5000,707,1
37,99590,39546,663,1
34,44090,5000,718,1
72,25000,23017,663,0
24,103259,108236,539,0
21,69166,123056,750,0
46,86209,5000,759,1
31,71215,96609,656,0
20,84380,80176,677,0
41,104484,10751,637,1
54,25000,89689,809,0
33,120640,128102,764,1
75,67714,98052,623,0
72,140082,5000,722,1
69,56621,7748,618,0
21,47736,61969,623,0
73,69066,5000,648,1
41,94999,154636,637,0
51,64025,55075,570,0
47,97900,5000,772,1
35,59514,5000,694,1
36,76395,5000,788,1
48,164462,86467,668,1
36,89290,95984,577,0
66,92499,5000,751,1
63,25000,147541,698,0
36,129171,5000,661,1
39,117658,5000,764,1
41,46422,68179,585,0
62,116869,5000,748,1
29,88192,5000,730,1
47,76856,5000,696,1
75,126638,5000,576,0
55,54508,89960,745,0
70,46105,5000,732,1
48,83302,59502,698,1
53,96129,97323,676,0
36,113652,145575,600,0
65,68961,5000,601,0
62,41009,5000,625,1
53,176142,192915,569,0
47,31536,138251,572,0
72,77204,8030,648,1
66,106188,121733,586,0
72,121044,49797,663,1
50,52313,31304,684,1
35,25000,228660,578,0
69,51389,115983,737,0
66,109452,180944,750,0
45,100499,5000,526,0
64,101804,173809,774,0
28,103466,17491,719,1
74,128603,16459,686,1
71,43964,61186,782,0
62,27084,70989,687,0
50,89819,114408,625,0
34,33059,100679,575,0
23,25000,5000,671,1
21,123958,5000,671,1
37,85014,14697,560,0
65,76139,28926,654,1
64,76970,37124,787,1
44,70754,139352,715,0
32,123689,44754,585,0
23,25000,240969,701,0
64,25000,145665,729,0
31,37544,5886,752,1
28,86566,5000,720,1
56,147213,221046,761,1
26,109763,7404,732,1
43,98697,104305,662,0
33,71805,5000,703,1
22,25000,157891,663,0
74,95599,97821,708,0
69,156038,5000,731,1
27,65397,5000,674,1
67,52573,45095,701,0
20,65590,69770,646,0
30,98990,91017,658,1
60,79469,5000,675,1
66,111400,5000,640,1
47,73661,5000,772,1
71,65359,5000,721,1
62,84160,5000,731,1
23,53413,5000,719,1
34,144630,56252,691,1
62,107924,55099,594,0
68,31012,5000,758,1
70,45169,51766,825,0
36,97613,148242,726,0
59,82332,7745,624,1
52,87100,5000,721,1
63,67314,92848,624,0
43,93206,117361,646,0
68,68255,5000,510,0
22,97535,5000,775,1
46,105921,5000,702,1
54,139269,5000,720,1
37,54412,5000,735,1
66,74555,5000,713,1
38,26240,5000,748,1
27,148050,29605,775,1
22,25000,14974,677,0
53,142314,5000,563,0
23,78738,151948,620,0
43,91737,54593,723,0
21,68373,82058,608,0
56,76244,174850,675,0
56,98523,108952,850,0
67,25000,8112,753,1
52,48914,5000,539,0
18,41197,5000,843,1
41,92896,146437,775,0
74,75174,108387,726,0
53,99723,5000,689,1
23,81591,23676,583,0
58,117343,40225,653,1
71,45389,5000,541,0
63,77326,5000,746,1
61,119374,5000,692,1
74,111373,69387,627,1
48,25000,5000,750,1
37,34155,145349,703,0
41,71728,29502,794,1
42,65606,5000,648,1
53,72382,112080,777,0
38,106847,150023,695,0
47,86575,281288,625,0
41,88907,139661,721,0
61,101824,5000,685,1
59,117966,46805,711,1
47,25000,232297,610,0
39,59534,5000,518,0
45,39681,5000,645,1
24,94012,5000,720,1
52,56515,5000,717,1
72,78034,5000,648,1
45,109085,5000,696,1
31,50880,87283,652,0
73,89512,5000,670,1
27,137153,40469,768,1
33,108264,5000,586,0
33,25000,73998,812,0
71,63330,82709,692,0
48,89232,101408,821,0
59,97111,101394,810,0
42,64906,5000,520,0
30,49408,29651,692,1
23,77710,147571,611,0
61,31524,65352,670,0
26,118989,100992,712,1
62,149747,5000,781,1
53,90787,106288,604,0
73,65702,5000,850,1
60,112636,5000,639,1
37,105877,5000,585,0
35,63978,64047,756,0
75,73086,77739,688,0
60,50618,5000,834,1
74,81587,5000,611,0
38,86956,106279,692,0
21,43794,77007,768,0
67,32012,64223,620,0
50,25000,184132,769,0
44,91661,42001,707,0
24,74540,5000,609,0
23,71657,136301,768,0
32,93581,5000,666,1
35,38961,21585,763,1
49,32189,5000,630,1
73,84643,5000,578,0
28,25000,5000,649,0
37,64640,151650,671,0
41,173657,5000,693,1
32,25000,115561,717,0
65,57810,5000,817,1
24,25000,158077,672,0
38,65650,166458,804,0
59,153661,5000,751,1
43,93676,36314,674,1
61,50448,81508,701,0
73,162256,5000,707,1
31,25000,180619,751,0
74,93157,31728,762,1
54,77596,5000,581,0
75,65119,36305,748,1
38,107283,5000,708,1
35,27720,31674,707,0
22,87504,5000,670,1
20,82426,5000,729,1
40,40159,93797,742,0
43,152999,5000,687,1
54,67726,171023,751,0
41,69453,48431,635,1
66,33892,177771,680,0
36,68466,106960,705,0
68,168390,5000,658,1
42,64891,35657,656,0
38,95748,5000,614,0
29,113021,5000,710,1
74,67743,19055,816,1
58,58616,5000,722,1
50,93890,5000,668,1
67,65349,5000,772,1
70,61726,208325,677,0
21,112595,39508,732,1
59,72223,79877,719,0
74,123529,25856,575,0
24,71322,56990,687,1
39,25000,5000,830,1
72,25000,163656,642,0
